luminosity_distance,dec,ra,theta_jn,psi,phase,chi_1,chi_2,lambda_1,lambda_2,mass_1_source,mass_2_source,reference_frequency,waveform_approximant,minimum_frequency,redshift,mass_1,mass_2,a_1,cos_tilt_1,a_2,cos_tilt_2,phi_jl,phi_12,tilt_1,tilt_2,chirp_mass,total_mass,symmetric_mass_ratio,mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,comoving_distance,chirp_mass_source,total_mass_source,lambda_tilde,delta_lambda_tilde,geocent_time,network_snr,network_snr_opt,ns_radius,disk_mass,remnant_mass,ejecta_mass
1670.0858786953024,0.3676206031401063,3.3519823749094817,0.8691576790316154,1.162582586414947,5.091127162769744,0.7048166290635325,-0.0021896261285845,0.0,499.63508453677576,21.864787978186136,1.5010795186739057,50.0,TaylorF2,20.0,0.3111294950343031,28.66756842087129,1.9681096313252529,0.7048166290635325,1.0,0.0021896261285845,-1.0,0.0,0.0,0.0,3.141592653589793,5.670463864858982,30.635678052196543,0.0601153182418296,0.0686528275586979,0.8691576790316154,0,0,0.7048166290635325,0,0,-0.0021896261285845,0.0,0.0,0.6593968470081117,0.0,0.0,0.0,1273.776458654207,4.324869424671608,23.36586749686004,7746.043748927328,1758.5287420450366,1126259642.413,12.03263197914205,10.680565397659308,13.56146081279283,0.0,0.0,0.0
670.4015217251088,-1.0297776229711384,3.5690784991338704,1.236067177597973,2.0072624547132087,5.506517765286349,0.0113933915807404,-0.0271857177278629,0.0,231.48213716025788,4.5293741378019305,1.699261558012899,50.0,TaylorF2,20.0,0.1376459363519596,5.152824082088028,1.9331580062724745,0.0113933915807404,1.0,0.0271857177278629,-1.0,0.0,0.0,0.0,3.141592653589793,2.6847731196146256,7.085982088360503,0.1983867066425515,0.3751647592613175,1.236067177597973,0,0,0.0113933915807404,0,0,-0.0271857177278629,0.0,0.0,0.0008684547258628,0.0,0.0,0.0,589.2883728615477,2.3599373353574067,6.2286356958148295,767.6605500780117,-2.160958080438036,1126259642.413,12.035155478142928,12.932755646812819,13.542654114740317,0.0,0.0,0.0
622.7474618320496,0.2841236241649709,2.813311692438742,1.621291337771888,2.2174341765862327,5.2320647658400405,0.0101876785597424,-0.0063552152053034,0.0,1590.368339412425,7.517033780425569,1.22103673357695,50.0,TaylorF2,20.0,0.1285967813182546,8.48370012964889,1.378058127386301,0.0101876785597424,1.0,0.0063552152053034,-1.0,0.0,0.0,0.0,3.141592653589793,2.7664373354567826,9.861758257035191,0.1202109809913498,0.1624359779726601,1.621291337771888,0,0,0.0101876785597424,0,0,-0.0063552152053034,0.0,0.0,0.0078760147966252,0.0,0.0,0.0,551.7891526998986,2.4512185230808936,8.73807051400252,3842.7987888011726,-174.76604848253788,1126259642.413,12.03987736798391,10.113210850953946,13.529202307084008,0.0,0.0,0.0
1623.986879740028,0.9573532731528384,3.515107665330257,2.472288428018356,0.508230439217371,1.906863087735913,0.01056225922301,0.0113563649412463,0.0,200.8629128365141,15.890305917455423,1.736557600616233,50.0,TaylorF2,20.0,0.3036729654005038,20.71576223653029,2.2639031967841485,0.01056225922301,1.0,0.0113563649412463,1.0,0.0,0.0,0.0,0.0,5.375594761334712,22.97966543331444,0.0888119422239648,0.1092840886536132,2.472288428018356,0,0,0.01056225922301,0,0,0.0113563649412463,0.0,0.0,0.0106404926715916,0.0,0.0,0.0,1245.701124395035,4.123422747884677,17.62686351807166,1358.3111838368238,104.8892764488782,1126259642.413,12.047178447622366,9.768929740188836,13.535024474312243,0.0,0.0,0.0
1375.1143018616583,1.3878405918284904,0.8384487051670091,2.5148083853176293,0.8518232129085991,3.3066749521308303,0.0100085578470765,0.0033814249179897,0.0,955.340984065012,12.316628848646555,1.3397282032804063,50.0,TaylorF2,20.0,0.2626460712055141,15.55154302624007,1.6916025523552276,0.0100085578470765,1.0,0.0033814249179897,1.0,0.0,0.0,0.0,0.0,4.024572838409606,17.243145578595296,0.0884787194254046,0.1087739364191059,2.5148083853176293,0,0,0.0100085578470765,0,0,0.0033814249179897,0.0,0.0,0.0093584169011254,0.0,0.0,0.0,1089.0734351725223,3.187411682647645,13.656357051926962,5535.34907432176,427.81153341691726,1126259642.413,12.04864890943615,11.193182679342287,13.547937854519022,0.0,0.0,0.0
1901.3423636162524,1.1362679209047022,0.0283067264593934,2.742040656966686,0.4551622487900632,0.8820840639366246,0.3430983550407204,0.000212224397415,0.0,665.3178379850165,16.91597615243711,1.4284760192268002,50.0,TaylorF2,20.0,0.3479258639830719,22.80148177039084,1.925479772395384,0.3430983550407204,1.0,0.000212224397415,1.0,0.0,0.0,0.0,0.0,5.091749954727139,24.72696154278622,0.0718059652698944,0.0844453791110953,2.742040656966686,0,0,0.3430983550407204,0,0,0.000212224397415,0.0,0.0,0.3163979330076213,0.0,0.0,0.0,1410.5689487400607,3.777470327397089,18.344452171663917,1658.4699084823187,264.8096027204503,1126259642.413,12.049119021837567,11.077644721743178,13.555685139983783,0.0,0.0,0.0
1548.472030108912,-0.6366509079241008,3.564721258022085,2.4563526906581417,2.827942029818204,4.25994274175685,0.0100725182689557,0.0102303761608031,0.0,1167.357608984961,27.627607768940297,1.2914205405221983,50.0,TaylorF2,20.0,0.2913651830343434,35.67733076333863,1.6676955226857593,0.0100725182689557,1.0,0.0102303761608031,1.0,0.0,0.0,0.0,0.0,5.6267668041994,37.34502628602439,0.0426622325401713,0.0467438422943751,2.4563526906581417,0,0,0.0100725182689557,0,0,0.0102303761608031,0.0,0.0,0.0100795676387282,0.0,0.0,0.0,1199.0969386653562,4.35722356318922,28.919028309462497,1859.7907459228,645.9387093407681,1126259642.413,12.05071678336752,11.681160779213988,13.543369301155778,0.0,0.0,0.0
1033.1094491501258,-0.2117019999506846,3.53082812300168,2.180584750675888,1.7920277258742834,0.3943507451095811,0.0100000471363394,-0.017371077358564,0.0,231.1395712053277,5.59008470317243,1.6996537154306124,50.0,TaylorF2,20.0,0.2038378621368455,6.729555618230981,2.0461074951569347,0.0100000471363394,1.0,0.017371077358564,-1.0,0.0,0.0,0.0,3.141592653589793,3.123869704180459,8.775663113387916,0.1787948261602439,0.3040479358865602,2.180584750675888,0,0,0.0100000471363394,0,0,-0.017371077358564,0.0,0.0,0.0036182772055342,0.0,0.0,0.0,858.1798979350099,2.594925614513821,7.289738418603043,6471.897811869551,-1361.4643288945426,1126259642.413,12.051467631588652,12.059687902394703,13.542587334703672,0.0,0.0,0.0
1338.1275326714915,0.2599589612066581,3.763911980773908,1.2603113089217244,1.14494077820414,3.179202016369997,0.4164949665268988,0.0146310591868497,0.0,167.60325707510196,16.612979288538853,1.7840341257223016,50.0,TaylorF2,20.0,0.2564299632467924,20.873044956918594,2.2415139310122947,0.4164949665268988,1.0,0.0146310591868497,1.0,0.0,0.0,0.0,0.0,5.361659481691275,23.11455888793089,0.0875701373883389,0.1073879702572729,1.2603113089217244,0,0,0.4164949665268988,0,0,0.0146310591868497,0.0,0.0,0.3775245690799421,0.0,0.0,0.0,1065.02357281874,4.267376326998753,18.39701341426116,3303.4417205585924,269.6513646918585,1126259642.413,12.054799948831647,9.588161362813238,13.520521290619518,0.0,0.0,0.0
1995.943262549488,-0.0898745244475114,2.8703072679083848,2.839820268656587,2.7967063870593942,3.4500291371369234,0.0100504396647605,0.0120387535085525,0.0,128.34433309991658,18.44844853999012,1.8538785998813647,50.0,TaylorF2,20.0,0.3627045508785058,25.13978478209246,2.526288804834609,0.0100504396647605,1.0,0.0120387535085525,1.0,0.0,0.0,0.0,0.0,6.213227077064201,27.66607358692707,0.082975427274815,0.1004896750999289,2.839820268656587,0,0,0.0100504396647605,0,0,0.0120387535085525,0.0,0.0,0.0102319997617611,0.0,0.0,0.0,1464.6925925463377,4.559482151181391,20.302327139871483,192.16417250617312,20.553276470607585,1126259642.413,12.057312358376322,11.28451051956786,13.494510862816757,0.0,0.0,0.0
1089.223448600958,-1.1268582562135905,5.685645152656384,1.867553764379144,1.5089362130149269,1.2962841033063566,0.8952175875758306,-0.0029545858995081,0.0,1008.99131270788,23.67298530716036,1.3262461897969544,50.0,TaylorF2,20.0,0.2137029396533785,28.731971857671763,1.609668899260656,0.8952175875758306,1.0,0.0029545858995081,-1.0,0.0,0.0,0.0,3.141592653589793,5.042586756107176,30.341640756932417,0.0502370190402724,0.0560236139459692,1.867553764379144,0,0,0.8952175875758306,0,0,-0.0029545858995081,0.0,0.0,0.8475682259145211,0.0,0.0,0.0,897.4382522757314,4.154712484710046,24.99923149695731,1581.8286770312218,461.5940098794797,1126259642.413,12.057615414144555,10.405865498448149,13.546662833238207,0.01781895295663,0.01781895295663,0.005345685886989
469.0831801868124,0.5165079233535755,2.942055553700144,1.431191591907778,2.4447369256083475,2.0469496237949167,0.0166065167580216,-0.0191795832954157,0.0,710.7133609401047,5.263903892997936,1.4120556992161868,50.0,TaylorF2,20.0,0.0987653489574911,5.7837951978685735,1.5515178730966876,0.0166065167580216,1.0,0.0191795832954157,-1.0,0.0,0.0,0.0,3.141592653589793,2.504367635726781,7.335313070965261,0.1667755496895334,0.2682525608217331,1.431191591907778,0,0,0.0166065167580216,0,0,-0.0191795832954157,0.0,0.0,0.0090372728410707,0.0,0.0,0.0,426.91843130064336,2.2792561105998894,6.675959592214124,5496.343238361924,-1014.7988132784576,1126259642.413,12.06482347374547,11.875659314809681,13.554378888955618,0.0,0.0,0.0
